time_period,time_identifier,geographic_level,country_code,country_name,pcon_code,pcon_name,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Parliamentary constituency,E92000001,England,E14001007,Uxbridge and South Ruislip,Provisional,School location,State-funded schools (LA),10,1416,66780,47.2,1338,94.5,686,48.4,951,67.2,442,31.2,5801.48,4.1,215,15.2,294,20.8,1302,247.899,0.19,0.11,0.27
202223,Academic year,Parliamentary constituency,E92000001,England,E14001008,Vauxhall,Provisional,School location,State-funded schools (LA),8,737,32466,44.1,693,94,338,45.9,459,62.3,357,48.4,2914.69,3.95,123,16.7,191,25.9,680,3.417,0.01,-0.1,0.11
202223,Academic year,Parliamentary constituency,E92000001,England,E14001009,Wakefield,Provisional,School location,State-funded schools (LA),5,861,40318.5,46.8,817,94.9,412,47.9,577,67,252,29.3,3441.77,4,110,12.8,165,19.2,833,180.049,0.22,0.12,0.31
202223,Academic year,Parliamentary constituency,E92000001,England,E14001010,Wallasey,Provisional,School location,State-funded schools (LA),5,845,29054.5,34.4,802,94.9,164,19.4,353,41.8,371,43.9,2474.38,2.93,52,6.2,132,15.6,824,-511.514,-0.62,-0.72,-0.52
202223,Academic year,Parliamentary constituency,E92000001,England,E14001011,Walsall North,Provisional,School location,State-funded schools (LA),6,699,25979,37.2,659,94.3,174,24.9,317,45.4,316,45.2,2192.66,3.14,76,10.9,133,19,680,-270.884,-0.4,-0.5,-0.29
202223,Academic year,Parliamentary constituency,E92000001,England,E14001012,Walsall South,Provisional,School location,State-funded schools (LA),9,1381,68891.5,49.9,1344,97.3,695,50.3,938,67.9,589,42.7,6095.22,4.41,318,23,427,30.9,1266,178.734,0.14,0.06,0.22
202223,Academic year,Parliamentary constituency,E92000001,England,E14001013,Walthamstow,Provisional,School location,State-funded schools (LA),10,1358,62778,46.2,1294,95.3,652,48,905,66.6,467,34.4,5467.56,4.03,223,16.4,306,22.5,1248,31.204,0.03,-0.05,0.1
202223,Academic year,Parliamentary constituency,E92000001,England,E14001014,Wansbeck,Provisional,School location,State-funded schools (LA),8,1025,45868.75,44.8,971,94.7,447,43.6,673,65.7,301,29.4,3871.74,3.78,133,13,180,17.6,1004,-136.055,-0.14,-0.22,-0.05
202223,Academic year,Parliamentary constituency,E92000001,England,E14001015,Wantage,Provisional,School location,State-funded schools (LA),8,1319,63456.5,48.1,1268,96.1,643,48.7,896,67.9,513,38.9,5593.71,4.24,269,20.4,364,27.6,1251,274.521,0.22,0.14,0.3
202223,Academic year,Parliamentary constituency,E92000001,England,E14001016,Warley,Provisional,School location,State-funded schools (LA),7,1642,73501.25,44.8,1623,98.8,638,38.9,968,59,830,50.5,6366.29,3.88,230,14,401,24.4,1493,326.011,0.22,0.15,0.29
202223,Academic year,Parliamentary constituency,E92000001,England,E14001017,Warrington North,Provisional,School location,State-funded schools (LA),8,792,35500.75,44.8,740,93.4,338,42.7,512,64.6,326,41.2,3098.27,3.91,123,15.5,202,25.5,761,-118.864,-0.16,-0.26,-0.06
