,time_period,gender,subject,total_exam_entries,grade
9,202223,Boys,All Subjects,2381705,9 to 5
10,202223,Girls,All Subjects,2354678,9 to 5
11,202223,Total,All Subjects,4736383,9 to 5
126,202223,Boys,Ancient History,675,9 to 5
127,202223,Girls,Ancient History,544,9 to 5
128,202223,Total,Ancient History,1219,9 to 5
168,202223,Boys,Arabic,2123,9 to 5
169,202223,Girls,Arabic,2390,9 to 5
170,202223,Total,Arabic,4513,9 to 5
210,202223,Boys,Art and Design,63160,9 to 5
211,202223,Girls,Art and Design,120110,9 to 5
212,202223,Total,Art and Design,183270,9 to 5
252,202223,Boys,Biblical Hebrew,164,9 to 5
253,202223,Girls,Biblical Hebrew,422,9 to 5
254,202223,Total,Biblical Hebrew,586,9 to 5
294,202223,Boys,Biology,89374,9 to 5
295,202223,Girls,Biology,85978,9 to 5
296,202223,Total,Biology,175352,9 to 5
336,202223,Boys,Business,65627,9 to 5
337,202223,Girls,Business,47950,9 to 5
338,202223,Total,Business,113577,9 to 5
378,202223,Boys,Chemistry,86991,9 to 5
379,202223,Girls,Chemistry,83580,9 to 5
380,202223,Total,Chemistry,170571,9 to 5
420,202223,Boys,Chinese,2949,9 to 5
421,202223,Girls,Chinese,2869,9 to 5
422,202223,Total,Chinese,5818,9 to 5
462,202223,Boys,Classical Civilisation,1960,9 to 5
463,202223,Girls,Classical Civilisation,2345,9 to 5
464,202223,Total,Classical Civilisation,4305,9 to 5
504,202223,Boys,Classical Greek,520,9 to 5
505,202223,Girls,Classical Greek,395,9 to 5
506,202223,Total,Classical Greek,915,9 to 5
546,202223,Boys,Combined Science,221734,9 to 5
547,202223,Girls,Combined Science,217298,9 to 5
548,202223,Total,Combined Science,439032,9 to 5
612,202223,Boys,Computer Science,69293,9 to 5
613,202223,Girls,Computer Science,18639,9 to 5
614,202223,Total,Computer Science,87932,9 to 5
654,202223,Boys,Dance,346,9 to 5
655,202223,Girls,Dance,6544,9 to 5
656,202223,Total,Dance,6890,9 to 5
696,202223,Boys,Design & Technology,54132,9 to 5
697,202223,Girls,Design & Technology,24206,9 to 5
698,202223,Total,Design & Technology,78338,9 to 5
738,202223,Boys,Drama,16156,9 to 5
739,202223,Girls,Drama,33414,9 to 5
740,202223,Total,Drama,49570,9 to 5
780,202223,Boys,Economics,5003,9 to 5
781,202223,Girls,Economics,2167,9 to 5
782,202223,Total,Economics,7170,9 to 5
822,202223,Boys,Engineering,2072,9 to 5
823,202223,Girls,Engineering,425,9 to 5
824,202223,Total,Engineering,2497,9 to 5
864,202223,Boys,English Language,315400,9 to 5
865,202223,Girls,English Language,305455,9 to 5
866,202223,Total,English Language,620855,9 to 5
906,202223,Boys,English Literature,303807,9 to 5
907,202223,Girls,English Literature,298388,9 to 5
908,202223,Total,English Literature,602195,9 to 5
948,202223,Boys,Film Studies,2629,9 to 5
949,202223,Girls,Film Studies,2532,9 to 5
950,202223,Total,Film Studies,5161,9 to 5
990,202223,Boys,Food Preparation & Nutrition,21986,9 to 5
991,202223,Girls,Food Preparation & Nutrition,31059,9 to 5
992,202223,Total,Food Preparation & Nutrition,53045,9 to 5
1032,202223,Boys,French,54811,9 to 5
1033,202223,Girls,French,70635,9 to 5
1034,202223,Total,French,125446,9 to 5
1074,202223,Boys,Geography,152318,9 to 5
1075,202223,Girls,Geography,128951,9 to 5
1076,202223,Total,Geography,281269,9 to 5
1116,202223,Boys,German,16950,9 to 5
1117,202223,Girls,German,16620,9 to 5
1118,202223,Total,German,33570,9 to 5
1158,202223,Boys,History,145590,9 to 5
1159,202223,Girls,History,149854,9 to 5
1160,202223,Total,History,295444,9 to 5
1200,202223,Boys,Italian,1815,9 to 5
1201,202223,Girls,Italian,2138,9 to 5
1202,202223,Total,Italian,3953,9 to 5
1242,202223,Boys,Latin,4178,9 to 5
1243,202223,Girls,Latin,4149,9 to 5
1244,202223,Total,Latin,8327,9 to 5
1284,202223,Boys,Mathematics,312709,9 to 5
1285,202223,Girls,Mathematics,301942,9 to 5
1286,202223,Total,Mathematics,614651,9 to 5
1326,202223,Boys,Media/Film/TV,12943,9 to 5
1327,202223,Girls,Media/Film/TV,14045,9 to 5
1328,202223,Total,Media/Film/TV,26988,9 to 5
1368,202223,Boys,Music,14883,9 to 5
1369,202223,Girls,Music,14987,9 to 5
1370,202223,Total,Music,29870,9 to 5
1410,202223,Boys,Other Modern Languages,5040,9 to 5
1411,202223,Girls,Other Modern Languages,5817,9 to 5
1412,202223,Total,Other Modern Languages,10857,9 to 5
1452,202223,Boys,Other Sciences,1711,9 to 5
1453,202223,Girls,Other Sciences,502,9 to 5
1454,202223,Total,Other Sciences,2213,9 to 5
1494,202223,Boys,Physical Education,47612,9 to 5
1495,202223,Girls,Physical Education,26373,9 to 5
1496,202223,Total,Physical Education,73985,9 to 5
1536,202223,Boys,Physics,87039,9 to 5
1537,202223,Girls,Physics,83190,9 to 5
1538,202223,Total,Physics,170229,9 to 5
1578,202223,Boys,Polish,2518,9 to 5
1579,202223,Girls,Polish,2981,9 to 5
1580,202223,Total,Polish,5499,9 to 5
1620,202223,Boys,Religious Studies,103496,9 to 5
1621,202223,Girls,Religious Studies,120965,9 to 5
1622,202223,Total,Religious Studies,224461,9 to 5
1662,202223,Boys,Social Studies,23040,9 to 5
1663,202223,Girls,Social Studies,44389,9 to 5
1664,202223,Total,Social Studies,67429,9 to 5
1704,202223,Boys,Spanish,52602,9 to 5
1705,202223,Girls,Spanish,67455,9 to 5
1706,202223,Total,Spanish,120057,9 to 5
1746,202223,Boys,Statistics,14856,9 to 5
1747,202223,Girls,Statistics,10781,9 to 5
1748,202223,Total,Statistics,25637,9 to 5
1788,202223,Boys,Urdu,1493,9 to 5
1789,202223,Girls,Urdu,2194,9 to 5
1790,202223,Total,Urdu,3687,9 to 5
1830,202122,Boys,All Subjects,2294489,9 to 5
1831,202122,Girls,All Subjects,2289265,9 to 5
1832,202122,Total,All Subjects,4583754,9 to 5
1947,202122,Boys,Ancient History,617,9 to 5
1948,202122,Girls,Ancient History,453,9 to 5
1949,202122,Total,Ancient History,1070,9 to 5
1989,202122,Boys,Arabic,1925,9 to 5
1990,202122,Girls,Arabic,2234,9 to 5
1991,202122,Total,Arabic,4159,9 to 5
2031,202122,Boys,Art and Design,66903,9 to 5
2032,202122,Girls,Art and Design,123719,9 to 5
2033,202122,Total,Art and Design,190622,9 to 5
2073,202122,Boys,Biblical Hebrew,163,9 to 5
2074,202122,Girls,Biblical Hebrew,399,9 to 5
2075,202122,Total,Biblical Hebrew,562,9 to 5
2115,202122,Boys,Biology,85219,9 to 5
2116,202122,Girls,Biology,84354,9 to 5
2117,202122,Total,Biology,169573,9 to 5
2157,202122,Boys,Business,59006,9 to 5
2158,202122,Girls,Business,40588,9 to 5
2159,202122,Total,Business,99594,9 to 5
2199,202122,Boys,Chemistry,83016,9 to 5
2200,202122,Girls,Chemistry,82091,9 to 5
2201,202122,Total,Chemistry,165107,9 to 5
2241,202122,Boys,Chinese,2229,9 to 5
2242,202122,Girls,Chinese,2284,9 to 5
2243,202122,Total,Chinese,4513,9 to 5
2283,202122,Boys,Classical Civilisation,1588,9 to 5
2284,202122,Girls,Classical Civilisation,1869,9 to 5
2285,202122,Total,Classical Civilisation,3457,9 to 5
2325,202122,Boys,Classical Greek,551,9 to 5
2326,202122,Girls,Classical Greek,431,9 to 5
2327,202122,Total,Classical Greek,982,9 to 5
2367,202122,Boys,Combined Science,215200,9 to 5
2368,202122,Girls,Combined Science,209471,9 to 5
2369,202122,Total,Combined Science,424671,9 to 5
2433,202122,Boys,Computer Science,61531,9 to 5
2434,202122,Girls,Computer Science,16923,9 to 5
2435,202122,Total,Computer Science,78454,9 to 5
2475,202122,Boys,Dance,449,9 to 5
2476,202122,Girls,Dance,7826,9 to 5
2477,202122,Total,Dance,8275,9 to 5
2517,202122,Boys,Design & Technology,54962,9 to 5
2518,202122,Girls,Design & Technology,22951,9 to 5
2519,202122,Total,Design & Technology,77913,9 to 5
2559,202122,Boys,Drama,19013,9 to 5
2560,202122,Girls,Drama,34572,9 to 5
2561,202122,Total,Drama,53585,9 to 5
2601,202122,Boys,Economics,4694,9 to 5
2602,202122,Girls,Economics,2005,9 to 5
2603,202122,Total,Economics,6699,9 to 5
2643,202122,Boys,Engineering,1909,9 to 5
2644,202122,Girls,Engineering,390,9 to 5
2645,202122,Total,Engineering,2299,9 to 5
2685,202122,Boys,English Language,303849,9 to 5
2686,202122,Girls,English Language,295552,9 to 5
2687,202122,Total,English Language,599401,9 to 5
2727,202122,Boys,English Literature,293893,9 to 5
2728,202122,Girls,English Literature,289798,9 to 5
2729,202122,Total,English Literature,583691,9 to 5
2769,202122,Boys,Film Studies,3046,9 to 5
2770,202122,Girls,Film Studies,2304,9 to 5
2771,202122,Total,Film Studies,5350,9 to 5
2811,202122,Boys,Food Preparation & Nutrition,21739,9 to 5
2812,202122,Girls,Food Preparation & Nutrition,29888,9 to 5
2813,202122,Total,Food Preparation & Nutrition,51627,9 to 5
2853,202122,Boys,French,53544,9 to 5
2854,202122,Girls,French,71163,9 to 5
2855,202122,Total,French,124707,9 to 5
2895,202122,Boys,Geography,149795,9 to 5
2896,202122,Girls,Geography,128027,9 to 5
2897,202122,Total,Geography,277822,9 to 5
2937,202122,Boys,German,17513,9 to 5
2938,202122,Girls,German,18039,9 to 5
2939,202122,Total,German,35552,9 to 5
2979,202122,Boys,History,134235,9 to 5
2980,202122,Girls,History,142758,9 to 5
2981,202122,Total,History,276993,9 to 5
3021,202122,Boys,Italian,1918,9 to 5
3022,202122,Girls,Italian,2300,9 to 5
3023,202122,Total,Italian,4218,9 to 5
3063,202122,Boys,Latin,4231,9 to 5
3064,202122,Girls,Latin,4430,9 to 5
3065,202122,Total,Latin,8661,9 to 5
3105,202122,Boys,Mathematics,302410,9 to 5
3106,202122,Girls,Mathematics,292579,9 to 5
3107,202122,Total,Mathematics,594989,9 to 5
3147,202122,Boys,Media/Film/TV,12919,9 to 5
3148,202122,Girls,Media/Film/TV,12564,9 to 5
3149,202122,Total,Media/Film/TV,25483,9 to 5
3189,202122,Boys,Music,16501,9 to 5
3190,202122,Girls,Music,17392,9 to 5
3191,202122,Total,Music,33893,9 to 5
3231,202122,Boys,Other Modern Languages,4283,9 to 5
3232,202122,Girls,Other Modern Languages,4946,9 to 5
3233,202122,Total,Other Modern Languages,9229,9 to 5
3273,202122,Boys,Other Sciences,1727,9 to 5
3274,202122,Girls,Other Sciences,453,9 to 5
3275,202122,Total,Other Sciences,2180,9 to 5
3315,202122,Boys,Physical Education,44127,9 to 5
3316,202122,Girls,Physical Education,26137,9 to 5
3317,202122,Total,Physical Education,70264,9 to 5
3357,202122,Boys,Physics,83116,9 to 5
3358,202122,Girls,Physics,81811,9 to 5
3359,202122,Total,Physics,164927,9 to 5
3399,202122,Boys,Polish,1882,9 to 5
3400,202122,Girls,Polish,2367,9 to 5
3401,202122,Total,Polish,4249,9 to 5
3441,202122,Boys,Religious Studies,101884,9 to 5
3442,202122,Girls,Religious Studies,119497,9 to 5
3443,202122,Total,Religious Studies,221381,9 to 5
3483,202122,Boys,Social Studies,22032,9 to 5
3484,202122,Girls,Social Studies,39184,9 to 5
3485,202122,Total,Social Studies,61216,9 to 5
3525,202122,Boys,Spanish,48582,9 to 5
3526,202122,Girls,Spanish,65336,9 to 5
3527,202122,Total,Spanish,113918,9 to 5
3567,202122,Boys,Statistics,10974,9 to 5
3568,202122,Girls,Statistics,8096,9 to 5
3569,202122,Total,Statistics,19070,9 to 5
3609,202122,Boys,Urdu,1314,9 to 5
3610,202122,Girls,Urdu,2084,9 to 5
3611,202122,Total,Urdu,3398,9 to 5
3651,202021,Boys,All Subjects,2261168,9 to 5
3652,202021,Girls,All Subjects,2271365,9 to 5
3653,202021,Total,All Subjects,4532533,9 to 5
3768,202021,Boys,Ancient History,611,9 to 5
3769,202021,Girls,Ancient History,470,9 to 5
3770,202021,Total,Ancient History,1081,9 to 5
3810,202021,Boys,Arabic,1640,9 to 5
3811,202021,Girls,Arabic,1792,9 to 5
3812,202021,Total,Arabic,3432,9 to 5
3852,202021,Boys,Art and Design,67220,9 to 5
3853,202021,Girls,Art and Design,126878,9 to 5
3854,202021,Total,Art and Design,194098,9 to 5
3894,202021,Boys,Biblical Hebrew,149,9 to 5
3895,202021,Girls,Biblical Hebrew,460,9 to 5
3896,202021,Total,Biblical Hebrew,609,9 to 5
3936,202021,Boys,Biology,83440,9 to 5
3937,202021,Girls,Biology,83858,9 to 5
3938,202021,Total,Biology,167298,9 to 5
3978,202021,Boys,Business,56451,9 to 5
3979,202021,Girls,Business,38695,9 to 5
3980,202021,Total,Business,95146,9 to 5
4020,202021,Boys,Chemistry,81840,9 to 5
4021,202021,Girls,Chemistry,82061,9 to 5
4022,202021,Total,Chemistry,163901,9 to 5
4062,202021,Boys,Chinese,1703,9 to 5
4063,202021,Girls,Chinese,1715,9 to 5
4064,202021,Total,Chinese,3418,9 to 5
4104,202021,Boys,Classical Civilisation,1676,9 to 5
4105,202021,Girls,Classical Civilisation,1763,9 to 5
4106,202021,Total,Classical Civilisation,3439,9 to 5
4146,202021,Boys,Classical Greek,612,9 to 5
4147,202021,Girls,Classical Greek,381,9 to 5
4148,202021,Total,Classical Greek,993,9 to 5
4188,202021,Boys,Combined Science,211263,9 to 5
4189,202021,Girls,Combined Science,205592,9 to 5
4190,202021,Total,Combined Science,416855,9 to 5
4254,202021,Boys,Computer Science,61081,9 to 5
4255,202021,Girls,Computer Science,16072,9 to 5
4256,202021,Total,Computer Science,77153,9 to 5
4296,202021,Boys,Dance,559,9 to 5
4297,202021,Girls,Dance,8273,9 to 5
4298,202021,Total,Dance,8832,9 to 5
4338,202021,Boys,Design & Technology,58547,9 to 5
4339,202021,Girls,Design & Technology,23898,9 to 5
4340,202021,Total,Design & Technology,82445,9 to 5
4380,202021,Boys,Drama,20191,9 to 5
4381,202021,Girls,Drama,36935,9 to 5
4382,202021,Total,Drama,57126,9 to 5
4422,202021,Boys,Economics,4419,9 to 5
4423,202021,Girls,Economics,2121,9 to 5
4424,202021,Total,Economics,6540,9 to 5
4464,202021,Boys,Engineering,2138,9 to 5
4465,202021,Girls,Engineering,374,9 to 5
4466,202021,Total,Engineering,2512,9 to 5
4506,202021,Boys,English Language,298008,9 to 5
4507,202021,Girls,English Language,290728,9 to 5
4508,202021,Total,English Language,588736,9 to 5
4548,202021,Boys,English Literature,288946,9 to 5
4549,202021,Girls,English Literature,285509,9 to 5
4550,202021,Total,English Literature,574455,9 to 5
4590,202021,Boys,Film Studies,2911,9 to 5
4591,202021,Girls,Film Studies,2043,9 to 5
4592,202021,Total,Film Studies,4954,9 to 5
4632,202021,Boys,Food Preparation & Nutrition,20257,9 to 5
4633,202021,Girls,Food Preparation & Nutrition,29266,9 to 5
4634,202021,Total,Food Preparation & Nutrition,49523,9 to 5
4674,202021,Boys,French,53008,9 to 5
4675,202021,Girls,French,72061,9 to 5
4676,202021,Total,French,125069,9 to 5
4716,202021,Boys,Geography,143722,9 to 5
4717,202021,Girls,Geography,123672,9 to 5
4718,202021,Total,Geography,267394,9 to 5
4758,202021,Boys,German,17914,9 to 5
4759,202021,Girls,German,19200,9 to 5
4760,202021,Total,German,37114,9 to 5
4800,202021,Boys,History,133811,9 to 5
4801,202021,Girls,History,144007,9 to 5
4802,202021,Total,History,277818,9 to 5
4842,202021,Boys,Italian,1724,9 to 5
4843,202021,Girls,Italian,2122,9 to 5
4844,202021,Total,Italian,3846,9 to 5
4884,202021,Boys,Latin,4346,9 to 5
4885,202021,Girls,Latin,4599,9 to 5
4886,202021,Total,Latin,8945,9 to 5
4926,202021,Boys,Mathematics,296933,9 to 5
4927,202021,Girls,Mathematics,288000,9 to 5
4928,202021,Total,Mathematics,584933,9 to 5
4968,202021,Boys,Media/Film/TV,14078,9 to 5
4969,202021,Girls,Media/Film/TV,13390,9 to 5
4970,202021,Total,Media/Film/TV,27468,9 to 5
5010,202021,Boys,Music,16510,9 to 5
5011,202021,Girls,Music,18941,9 to 5
5012,202021,Total,Music,35451,9 to 5
5052,202021,Boys,Other Modern Languages,3499,9 to 5
5053,202021,Girls,Other Modern Languages,3870,9 to 5
5054,202021,Total,Other Modern Languages,7369,9 to 5
5094,202021,Boys,Other Sciences,1897,9 to 5
5095,202021,Girls,Other Sciences,612,9 to 5
5096,202021,Total,Other Sciences,2509,9 to 5
5136,202021,Boys,Physical Education,44456,9 to 5
5137,202021,Girls,Physical Education,26411,9 to 5
5138,202021,Total,Physical Education,70867,9 to 5
5178,202021,Boys,Physics,81482,9 to 5
5179,202021,Girls,Physics,81449,9 to 5
5180,202021,Total,Physics,162931,9 to 5
5220,202021,Boys,Polish,1567,9 to 5
5221,202021,Girls,Polish,1886,9 to 5
5222,202021,Total,Polish,3453,9 to 5
5262,202021,Boys,Religious Studies,102509,9 to 5
5263,202021,Girls,Religious Studies,121204,9 to 5
5264,202021,Total,Religious Studies,223713,9 to 5
5304,202021,Boys,Social Studies,20907,9 to 5
5305,202021,Girls,Social Studies,36832,9 to 5
5306,202021,Total,Social Studies,57739,9 to 5
5346,202021,Boys,Spanish,46345,9 to 5
5347,202021,Girls,Spanish,63413,9 to 5
5348,202021,Total,Spanish,109758,9 to 5
5388,202021,Boys,Statistics,11685,9 to 5
5389,202021,Girls,Statistics,8834,9 to 5
5390,202021,Total,Statistics,20519,9 to 5
5430,202021,Boys,Urdu,1113,9 to 5
5431,202021,Girls,Urdu,1978,9 to 5
5432,202021,Total,Urdu,3091,9 to 5
5472,201920,Boys,All Subjects,2220439,9 to 5
5473,201920,Girls,All Subjects,2232353,9 to 5
5474,201920,Total,All Subjects,4452792,9 to 5
5589,201920,Boys,Ancient History,465,9 to 5
5590,201920,Girls,Ancient History,429,9 to 5
5591,201920,Total,Ancient History,894,9 to 5
5631,201920,Boys,Arabic,1332,9 to 5
5632,201920,Girls,Arabic,1633,9 to 5
5633,201920,Total,Arabic,2965,9 to 5
5673,201920,Boys,Art and Design,64429,9 to 5
5674,201920,Girls,Art and Design,123521,9 to 5
5675,201920,Total,Art and Design,187950,9 to 5
5715,201920,Boys,Biblical Hebrew,45,9 to 5
5716,201920,Girls,Biblical Hebrew,47,9 to 5
5717,201920,Total,Biblical Hebrew,92,9 to 5
5757,201920,Boys,Biology,81220,9 to 5
5758,201920,Girls,Biology,79862,9 to 5
5759,201920,Total,Biology,161082,9 to 5
5799,201920,Boys,Business,54124,9 to 5
5800,201920,Girls,Business,36955,9 to 5
5801,201920,Total,Business,91079,9 to 5
5841,201920,Boys,Chemistry,79424,9 to 5
5842,201920,Girls,Chemistry,77975,9 to 5
5843,201920,Total,Chemistry,157399,9 to 5
5883,201920,Boys,Chinese,1421,9 to 5
5884,201920,Girls,Chinese,1353,9 to 5
5885,201920,Total,Chinese,2774,9 to 5
5925,201920,Boys,Classical Civilisation,1773,9 to 5
5926,201920,Girls,Classical Civilisation,1892,9 to 5
5927,201920,Total,Classical Civilisation,3665,9 to 5
5967,201920,Boys,Classical Greek,613,9 to 5
5968,201920,Girls,Classical Greek,457,9 to 5
5969,201920,Total,Classical Greek,1070,9 to 5
6009,201920,Boys,Combined Science,205685,9 to 5
6010,201920,Girls,Combined Science,202283,9 to 5
6011,201920,Total,Combined Science,407968,9 to 5
6075,201920,Boys,Computer Science,59540,9 to 5
6076,201920,Girls,Computer Science,16684,9 to 5
6077,201920,Total,Computer Science,76224,9 to 5
6117,201920,Boys,Dance,567,9 to 5
6118,201920,Girls,Dance,8422,9 to 5
6119,201920,Total,Dance,8989,9 to 5
6159,201920,Boys,Design & Technology,62934,9 to 5
6160,201920,Girls,Design & Technology,26015,9 to 5
6161,201920,Total,Design & Technology,88949,9 to 5
6201,201920,Boys,Drama,20485,9 to 5
6202,201920,Girls,Drama,37585,9 to 5
6203,201920,Total,Drama,58070,9 to 5
6243,201920,Boys,Economics,4414,9 to 5
6244,201920,Girls,Economics,2001,9 to 5
6245,201920,Total,Economics,6415,9 to 5
6285,201920,Boys,Engineering,2465,9 to 5
6286,201920,Girls,Engineering,402,9 to 5
6287,201920,Total,Engineering,2867,9 to 5
6327,201920,Boys,English Language,291959,9 to 5
6328,201920,Girls,English Language,285010,9 to 5
6329,201920,Total,English Language,576969,9 to 5
6369,201920,Boys,English Literature,282826,9 to 5
6370,201920,Girls,English Literature,280244,9 to 5
6371,201920,Total,English Literature,563070,9 to 5
6411,201920,Boys,Film Studies,2829,9 to 5
6412,201920,Girls,Film Studies,2064,9 to 5
6413,201920,Total,Film Studies,4893,9 to 5
6453,201920,Boys,Food Preparation & Nutrition,18355,9 to 5
6454,201920,Girls,Food Preparation & Nutrition,28864,9 to 5
6455,201920,Total,Food Preparation & Nutrition,47219,9 to 5
6495,201920,Boys,French,52312,9 to 5
6496,201920,Girls,French,72630,9 to 5
6497,201920,Total,French,124942,9 to 5
6537,201920,Boys,Geography,137916,9 to 5
6538,201920,Girls,Geography,118490,9 to 5
6539,201920,Total,Geography,256406,9 to 5
6579,201920,Boys,German,19793,9 to 5
6580,201920,Girls,German,21066,9 to 5
6581,201920,Total,German,40859,9 to 5
6621,201920,Boys,History,130679,9 to 5
6622,201920,Girls,History,144248,9 to 5
6623,201920,Total,History,274927,9 to 5
6663,201920,Boys,Italian,1749,9 to 5
6664,201920,Girls,Italian,2177,9 to 5
6665,201920,Total,Italian,3926,9 to 5
6705,201920,Boys,Latin,4503,9 to 5
6706,201920,Girls,Latin,4968,9 to 5
6707,201920,Total,Latin,9471,9 to 5
6747,201920,Boys,Mathematics,290501,9 to 5
6748,201920,Girls,Mathematics,281123,9 to 5
6749,201920,Total,Mathematics,571624,9 to 5
6789,201920,Boys,Media/Film/TV,15244,9 to 5
6790,201920,Girls,Media/Film/TV,13808,9 to 5
6791,201920,Total,Media/Film/TV,29052,9 to 5
6831,201920,Boys,Music,15968,9 to 5
6832,201920,Girls,Music,18704,9 to 5
6833,201920,Total,Music,34672,9 to 5
6873,201920,Boys,Other Modern Languages,3134,9 to 5
6874,201920,Girls,Other Modern Languages,3427,9 to 5
6875,201920,Total,Other Modern Languages,6561,9 to 5
6915,201920,Boys,Other Sciences,1761,9 to 5
6916,201920,Girls,Other Sciences,542,9 to 5
6917,201920,Total,Other Sciences,2303,9 to 5
6957,201920,Boys,Physical Education,46195,9 to 5
6958,201920,Girls,Physical Education,27767,9 to 5
6959,201920,Total,Physical Education,73962,9 to 5
6999,201920,Boys,Physics,79146,9 to 5
7000,201920,Girls,Physics,77551,9 to 5
7001,201920,Total,Physics,156697,9 to 5
7041,201920,Boys,Polish,1826,9 to 5
7042,201920,Girls,Polish,1927,9 to 5
7043,201920,Total,Polish,3753,9 to 5
7083,201920,Boys,Religious Studies,103200,9 to 5
7084,201920,Girls,Religious Studies,121831,9 to 5
7085,201920,Total,Religious Studies,225031,9 to 5
7125,201920,Boys,Social Studies,20168,9 to 5
7126,201920,Girls,Social Studies,36443,9 to 5
7127,201920,Total,Social Studies,56611,9 to 5
7167,201920,Boys,Spanish,44746,9 to 5
7168,201920,Girls,Spanish,59977,9 to 5
7169,201920,Total,Spanish,104723,9 to 5
7209,201920,Boys,Statistics,13500,9 to 5
7210,201920,Girls,Statistics,9852,9 to 5
7211,201920,Total,Statistics,23352,9 to 5
7251,201920,Boys,Urdu,1193,9 to 5
7252,201920,Girls,Urdu,2124,9 to 5
7253,201920,Total,Urdu,3317,9 to 5
7293,201819,Boys,All Subjects,2161431,9 to 5
7294,201819,Girls,All Subjects,2171421,9 to 5
7295,201819,Total,All Subjects,4332852,9 to 5
7410,201819,Boys,Ancient History,460,9 to 5
7411,201819,Girls,Ancient History,360,9 to 5
7412,201819,Total,Ancient History,820,9 to 5
7476,201819,Boys,Arabic,1114,9 to 5
7477,201819,Girls,Arabic,1329,9 to 5
7478,201819,Total,Arabic,2443,9 to 5
7542,201819,Boys,Art and Design,59667,9 to 5
7543,201819,Girls,Art and Design,117598,9 to 5
7544,201819,Total,Art and Design,177265,9 to 5
7608,201819,Boys,Biology,81745,9 to 5
7609,201819,Girls,Biology,79611,9 to 5
7610,201819,Total,Biology,161356,9 to 5
7674,201819,Boys,Business,52005,9 to 5
7675,201819,Girls,Business,35509,9 to 5
7676,201819,Total,Business,87514,9 to 5
7740,201819,Boys,Chemistry,80278,9 to 5
7741,201819,Girls,Chemistry,77726,9 to 5
7742,201819,Total,Chemistry,158004,9 to 5
7806,201819,Boys,Chinese,1146,9 to 5
7807,201819,Girls,Chinese,1044,9 to 5
7808,201819,Total,Chinese,2190,9 to 5
7872,201819,Boys,Classical Civilisation,1687,9 to 5
7873,201819,Girls,Classical Civilisation,1707,9 to 5
7874,201819,Total,Classical Civilisation,3394,9 to 5
7938,201819,Boys,Classical Greek,634,9 to 5
7939,201819,Girls,Classical Greek,453,9 to 5
7940,201819,Total,Classical Greek,1087,9 to 5
8004,201819,Boys,Combined Science,195315,9 to 5
8005,201819,Girls,Combined Science,193132,9 to 5
8006,201819,Total,Combined Science,388447,9 to 5
8094,201819,Boys,Communication Studies,2595,9 to 5
8095,201819,Girls,Communication Studies,1852,9 to 5
8096,201819,Total,Communication Studies,4447,9 to 5
8160,201819,Boys,Computer Science,60761,9 to 5
8161,201819,Girls,Computer Science,16810,9 to 5
8162,201819,Total,Computer Science,77571,9 to 5
8226,201819,Boys,Dance,567,9 to 5
8227,201819,Girls,Dance,8616,9 to 5
8228,201819,Total,Dance,9183,9 to 5
8292,201819,Boys,Design & Technology,61871,9 to 5
8293,201819,Girls,Design & Technology,26586,9 to 5
8294,201819,Total,Design & Technology,88457,9 to 5
8358,201819,Boys,Drama,20511,9 to 5
8359,201819,Girls,Drama,37148,9 to 5
8360,201819,Total,Drama,57659,9 to 5
8424,201819,Boys,Economics,3965,9 to 5
8425,201819,Girls,Economics,1917,9 to 5
8426,201819,Total,Economics,5882,9 to 5
8490,201819,Boys,Engineering,2549,9 to 5
8491,201819,Girls,Engineering,305,9 to 5
8492,201819,Total,Engineering,2854,9 to 5
8556,201819,Boys,English Language,282758,9 to 5
8557,201819,Girls,English Language,276445,9 to 5
8558,201819,Total,English Language,559203,9 to 5
8622,201819,Boys,English Literature,273774,9 to 5
8623,201819,Girls,English Literature,271732,9 to 5
8624,201819,Total,English Literature,545506,9 to 5
8688,201819,Boys,Food Preparation & Nutrition,17023,9 to 5
